,country_or_area,commodity_transaction,year,unit,quantity,quantity_footnotes,category
536037,Estonia,From combustible fuels – Main activity,2002,Terajoules,24717.0,,heat
705920,Hungary,Lubricants - Transfers and recycled products,2005,"Metric tons,  thousand",0.0,,lubricants
313067,Uzbekistan,Fuel oil - production from refineries,1994,"Metric tons,  thousand",1314.0,,fuel_oil
1178585,Brazil,White spirit and special boiling point industrial spirits - Exports,1991,"Metric tons,  thousand",0.0,,white_spirit_and_special_boiling_point_industrial_spirits
575575,Germany,Industrial Waste - Transformation in heat plants - main activity producers,2008,Terajoules,10057.0,,industrial_waste
102779,Canada,Brown coal - changes in stocks,1991,"Metric tons,  thousand",-25.0,,brown_coal
149315,Portugal,Charcoal - Total energy supply,1999,"Metric tons,  thousand",32.0,,charcoal
319966,Uganda,Fuel oil - Total energy supply,2009,"Metric tons,  thousand",27.3,,fuel_oil
445945,Morocco,Gas Oil/ Diesel Oil - Imports,1995,"Metric tons,  thousand",138.0,,gas_oil_diesel_oil
387930,Greenland,Gas Oil/ Diesel Oil - Consumption by construction ,2014,"Metric tons,  thousand",2.7489999999999997,,gas_oil_diesel_oil
512667,Canada,Hard coal - final energy consumption,2009,"Metric tons,  thousand",1429.0,,hard_coal
486434,China,"Gasworks Gas - Consumption by other manuf., const. and non-fuel ind.",2014,Terajoules,32337.8,,gasworks_gas
447734,United Rep. of Tanzania,Gas Oil/ Diesel Oil - Imports,1992,"Metric tons,  thousand",95.0,1.0,gas_oil_diesel_oil
297620,United Rep. of Tanzania,Fuel oil - Final energy consumption,1995,"Metric tons,  thousand",117.0,,fuel_oil
1077949,Japan,Electricity - Consumption by transport equipment,2011,"Kilowatt-hours, million",25124.0,,total_electricity
1183459,Argentina,White spirit and special boiling point industrial spirits - Production,2006,"Metric tons,  thousand",254.0,,white_spirit_and_special_boiling_point_industrial_spirits
443908,Cook Islands,Gas Oil/ Diesel Oil - Imports,2005,"Metric tons,  thousand",15.0,,gas_oil_diesel_oil
776839,Syrian Arab Republic,Naphtha - production from refineries,2002,"Metric tons,  thousand",589.0,,naphtha
847377,Curaçao,Natural gas liquids - Imports,2012,"Metric tons,  thousand",12.0,,natural_gas_liquids
975618,Australia,Paraffin waxes - Stock changes,2005,"Metric tons,  thousand",0.0,,paraffin_waxes
62157,Bahamas,Bitumen - Final consumption,2008,"Metric tons,  thousand",3.8,,bitumen
50707,France,Biogases - Production,1992,Terajoules,3087.0,,biogases
527220,Belgium,Hard coal - transformation in CHP plants - autoproducers,2013,"Metric tons,  thousand",12.0,,hard_coal
1171214,Poland,Wind – Main activity,2014,"Kilowatt-hours, million",7676.0,,total_electricity
669061,South Africa,Liquefied petroleum gas (LPG) - Total energy supply,2014,"Metric tons,  thousand",207.0,,liquified_petroleum_gas
453060,China,Gas Oil/ Diesel Oil - Own use by oil refineries,2008,"Metric tons,  thousand",256.1,,gas_oil_diesel_oil
22618,Uruguay,Aviation gasoline - International aviation bunkers,1993,"Metric tons,  thousand",0.0,,aviation_gasoline
28869,Haiti,"Bagasse - Consumption by manufacturing, construction and non-fuel industry",1995,"Metric tons,  thousand",358.96971,,bagasse
