Country,Data source,Sector,Gas,Unit,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
World,CAIT,Total including LUCF,All GHG,MtCO₂e,48892.37,48257.3,47583.61,47025.97,45760.96,44091.45,44206.56,43822.88,42805.12,42504.58,41392.31,39805.41,38771.61,37585.68,36855.49,36212.69,36299.09,36626.68,35376.05,34922.08,34231.54,34051.21,33927.96,34008.49,33823.47
China,CAIT,Total including LUCF,All GHG,MtCO₂e,11600.63,11420.44,10938.67,10701.13,9712.78,8919.7,8359.26,8176.56,7537.67,6927.72,6183.03,5386.45,4711.7,4383.49,4159.8,3972.81,4038.55,3931.79,3900.32,3884.03,3498.95,3344.47,3117.42,2980.93,2833.49
United States,CAIT,Total including LUCF,All GHG,MtCO₂e,6319.02,6213.27,6132.14,6305.16,6115.68,5893.98,6253.79,6531.52,6330.06,6429.55,6448.38,6326.07,6236.44,6308.91,6394.64,6222.57,6178.27,6160.3,6013.18,5863.02,5805.98,5725.24,5598.11,5514.88,5550.04
India,CAIT,Total including LUCF,All GHG,MtCO₂e,3202.31,3031.34,2956.22,2821.64,2469.0,2363.59,2183.33,2083.95,1942.63,1805.11,1718.79,1621.51,1576.17,1545.64,1633.09,1594.49,1516.44,1485.84,1429.29,1375.25,1311.29,1263.72,1230.04,1197.94,1142.43
Indonesia,CAIT,Total including LUCF,All GHG,MtCO₂e,2471.64,2160.98,2156.54,2135.19,1994.78,2285.21,1968.89,1974.67,2399.72,1748.6,1875.85,1691.76,1935.23,1583.66,1315.44,1393.4,1498.99,2259.06,1308.49,1435.23,1401.19,1386.03,1371.11,1352.78,1336.74
Russia,CAIT,Total including LUCF,All GHG,MtCO₂e,2030.14,2076.02,2185.23,2143.4,2056.75,1990.67,2274.33,2035.24,2045.27,2146.98,2119.62,2284.3,2140.49,2106.08,2261.95,2217.35,2238.98,2182.39,2367.76,2388.86,2478.94,2732.52,2953.75,3167.24,3227.3
Brazil,CAIT,Total including LUCF,All GHG,MtCO₂e,1357.18,1317.22,1306.77,1252.95,1483.81,1377.6,1394.02,1404.58,1352.8,1939.66,1915.83,1876.7,1862.77,1837.95,1603.08,1601.85,1595.55,1564.61,1534.88,1527.67,1502.24,1485.83,1476.23,1465.84,1447.65
Japan,CAIT,Total including LUCF,All GHG,MtCO₂e,1322.05,1361.1,1335.73,1288.61,1083.31,1033.41,1098.66,1187.75,1145.18,1264.3,1259.63,1265.2,1261.27,1227.09,1206.58,1190.54,1150.51,1185.0,1192.25,1177.74,1164.6,1111.07,1116.89,1104.3,1096.72
Canada,CAIT,Total including LUCF,All GHG,MtCO₂e,867.0,889.9,808.67,781.29,906.01,812.84,893.26,898.24,880.0,975.74,960.21,998.75,984.07,896.77,720.32,730.85,788.96,682.23,684.06,688.04,672.3,652.4,651.82,637.04,641.34
Germany,CAIT,Total including LUCF,All GHG,MtCO₂e,816.64,856.69,838.71,826.89,878.3,840.93,898.55,892.0,924.49,909.69,930.32,949.62,948.97,966.05,918.52,930.52,967.71,983.07,1019.98,997.84,1003.92,1017.27,1027.29,1074.32,1103.55
Iran,CAIT,Total including LUCF,All GHG,MtCO₂e,800.68,782.25,761.45,751.64,670.47,670.61,650.93,641.92,608.8,565.91,531.91,497.73,472.74,452.31,442.57,425.73,390.09,384.25,368.98,356.94,343.1,310.5,310.65,291.19,250.42
Mexico,CAIT,Total including LUCF,All GHG,MtCO₂e,729.1,742.0,749.38,752.21,737.04,728.97,741.09,726.18,712.22,701.59,668.9,656.07,625.09,610.61,605.8,575.09,589.07,551.86,521.57,499.19,516.4,487.67,472.8,466.47,446.07
South Korea,CAIT,Total including LUCF,All GHG,MtCO₂e,631.6,633.94,635.14,630.92,596.94,547.98,534.23,521.98,508.41,504.45,506.76,483.79,477.31,483.46,476.01,419.0,381.87,446.14,422.06,393.51,361.21,334.84,306.09,280.94,256.27
Saudi Arabia,CAIT,Total including LUCF,All GHG,MtCO₂e,583.37,546.44,536.7,503.17,482.79,443.26,420.99,389.77,370.41,350.7,333.57,315.73,302.33,283.59,278.01,266.64,261.37,244.54,262.21,249.09,244.68,231.17,223.3,209.13,187.52
